step,continuous_action,discrete_action,reward,pnl,portfolio_value,position,position_change,pnl_component,pnl_unclipped,inactivity_penalty,opportunity_penalty,trade_bonus,total_reward
116,-0.5221803784370422,2,0.0,0.0,197761.0009613914,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
117,-0.5784153938293457,2,0.0,0.0,197969.3238502647,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
118,0.31891441345214844,0,-0.01,0.0,197765.84777484124,-0.03603578773106402,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
119,-0.5391566753387451,2,0.0,0.0,197631.83068026943,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
120,0.30499958992004395,0,-0.01,0.0,197490.73255340842,-0.03603578773106402,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
121,-0.366818904876709,2,0.0,0.0,197653.0737771369,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
122,-0.29995477199554443,0,-0.01,0.0,197402.8773029201,-0.03603578773106402,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
123,-0.5269209146499634,2,0.0,0.0,197653.25395607552,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
124,-0.7505778670310974,2,0.0,0.0,197548.58801061066,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
125,0.3240842819213867,0,-0.01,0.0,197157.67178530406,-0.03603578773106402,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
126,0.31017160415649414,0,-0.02,0.0,197334.82371779,-0.03603578773106402,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
127,-0.5587831735610962,2,0.0,0.0,197436.0122097388,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
128,-0.11458194255828857,0,-0.01,0.0,197418.21053059967,-0.03603578773106402,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
129,0.21278250217437744,0,-0.02,0.0,197508.13783888254,-0.03603578773106402,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
130,-0.42002207040786743,2,0.0,0.0,197784.92872444485,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
131,0.02744138240814209,0,-0.01,0.0,197772.71259240402,-0.03603578773106402,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
132,-0.3920555114746094,2,0.0,0.0,197962.04462114302,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
133,0.1934577226638794,0,-0.01,0.0,197877.73889574618,-0.03603578773106402,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
134,-0.594375729560852,2,0.0,0.0,198041.50353309003,-0.03603578773106402,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
135,0.340770959854126,1,-2.5236734582771008,-499.2631027011154,197409.77287468952,0.03591596874230491,0.07195175647336893,-2.5290698400126033,-2.5290698400126033,-0.0,-0.0,0.0053963817355026705,-2.5236734582771008
136,-0.2615342140197754,0,-0.01,0.0,197270.61645379747,0.03591596874230491,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
137,-0.38862013816833496,2,-2.793204339127733,-550.9266450265538,196858.84622966297,-0.03585535793670487,-0.07177132667900979,-2.7985871886286584,-2.7985871886286584,-0.0,-0.0,0.005382849500925734,-2.793204339127733
138,-0.2067422866821289,0,-0.01,0.0,196714.72561843638,-0.03585535793670487,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
139,-0.2751936912536621,0,-0.02,0.0,196932.95925451815,-0.03585535793670487,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
140,-0.24635767936706543,0,-0.03,0.0,196892.67575987626,-0.03585535793670487,0.0,0.0,0.0,-0.03,-0.0,0.0,-0.03
141,-0.5646363496780396,2,0.0,0.0,196661.15771367896,-0.03585535793670487,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
142,-0.3959627151489258,2,0.0,0.0,196946.2436646337,-0.03585535793670487,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
143,-0.558131217956543,2,0.0,0.0,196913.5615058744,-0.03585535793670487,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
144,0.34185612201690674,1,-1.7517373677750903,-345.29613749003045,196513.55009217293,0.0357942234065849,0.07164958134328978,-1.757111086375837,-1.757111086375837,-0.0,-0.0,0.005373718600746733,-1.7517373677750903
145,-0.3826916217803955,2,-1.091744362381391,-215.36040434575426,196298.18968782717,-0.035727061639093935,-0.07152128504567884,-1.0971084587598168,-1.0971084587598168,-0.0,-0.0,0.0053640963784259135,-1.091744362381391
146,-0.465114951133728,2,0.0,0.0,196516.69639681187,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
147,-0.4399806261062622,2,0.0,0.0,196749.67256576038,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
148,-0.5591766238212585,2,0.0,0.0,196657.71110910136,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
149,-0.4011005163192749,2,0.0,0.0,196605.35310026928,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
150,-0.5222861170768738,2,0.0,0.0,196561.17658855254,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
151,0.29855871200561523,0,-0.01,0.0,196500.06544961888,-0.035727061639093935,0.0,0.0,0.0,-0.01,-0.0,0.0,-0.01
152,0.19969797134399414,0,-0.02,0.0,196620.05478613375,-0.035727061639093935,0.0,0.0,0.0,-0.02,-0.0,0.0,-0.02
153,-0.5038592219352722,2,0.0,0.0,196579.11157349535,-0.035727061639093935,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0
