portfolio_value,action
1000000.0,0.07549739
1000000.0,0.064644575
1000000.0,0.005457759
1000000.0,0.011983633
1000000.0,-0.053458214
1000000.0,0.025399089
1000000.0,-0.049694538
1000000.0,-0.11173105
1000000.0,0.047225237
1000000.0,0.051060557
1000000.0,0.036901236
1000000.0,-0.048564255
1000000.0,0.018082857
1000000.0,-0.10354519
1000000.0,-0.055854797
1000000.0,0.039626837
1000000.0,0.115253806
1000000.0,0.0120072365
1000000.0,0.11155248
1000000.0,-0.00034427643
1000000.0,-0.0051031113
1000000.0,0.10931945
1000000.0,0.018232226
1000000.0,-0.03443247
1000000.0,0.12615275
1000000.0,0.025841713
1000000.0,0.01917231
1000000.0,-0.024642706
1000000.0,-0.050831795
1000000.0,0.085703254
1000000.0,-0.05431938
1000000.0,0.152498
1000000.0,0.009677172
1000000.0,0.10352492
1000000.0,0.06408346
1000000.0,0.040155172
1000000.0,0.17573678
1000000.0,0.04488647
1000000.0,0.14760792
1000000.0,0.053176284
1000000.0,0.15416479
1000000.0,-0.13713455
1000000.0,-0.008478582
1000000.0,-0.060284197
1000000.0,0.14854956
1000000.0,0.0813545
1000000.0,-0.09437275
1000000.0,0.04174745
1000000.0,-0.03631264
1000000.0,0.070960045
1000000.0,0.04346156
1000000.0,0.04218149
1000000.0,-0.09250116
1000000.0,0.18214309
1000000.0,-0.062261164
1000000.0,0.06348276
1000000.0,0.0139395
1000000.0,0.014824629
1000000.0,0.1510427
1000000.0,0.02167046
1000000.0,0.072265625
1000000.0,0.019920945
1000000.0,-0.01926279
1000000.0,0.08739269
1000000.0,0.02826047
1000000.0,0.07837534
1000000.0,0.053928733
1000000.0,-0.029810369
1000000.0,-0.01774317
1000000.0,0.11221886
1000000.0,0.0824132
1000000.0,0.10153723
1000000.0,-0.09561789
1000000.0,-0.00834322
1000000.0,0.0077780485
1000000.0,0.117706895
1000000.0,0.02330792
1000000.0,0.11187041
1000000.0,-0.062586546
1000000.0,-0.09635502
1000000.0,-0.07644206
1000000.0,0.0058680773
1000000.0,-0.102280855
1000000.0,0.022087574
1000000.0,-0.09162384
1000000.0,0.058737755
1000000.0,0.007948518
1000000.0,0.04031813
