portfolio_delta,portfolio_pct_change,portfolio_reward,position_bonus,action_penalty,total_reward
-6781.832581,-0.001,-0.1,0.035,0.01,-0.075
-5459.107824,-0.001,-0.1,0.1,0.01,-0.01
-1968.224815,-0.000752,-0.075,0.013,0.01,-0.072
-2490.892818,-0.000951,-0.095,0.017,0.01,-0.088
-1598.994878,-0.00061,-0.061,0.017,0.01,-0.054
-5078.860596,-0.001,-0.1,0.033,0.01,-0.077
-7391.344839,-0.001,-0.1,0.065,0.01,-0.045
-8317.317118,-0.001,-0.1,0.1,0.01,-0.01
-10414.112368,-0.001,-0.1,0.082,0.01,-0.028
-8043.860237,-0.001,-0.1,0.034,0.01,-0.076
-873.715333,-0.000328,-0.033,0.031,0.01,-0.012
-8235.918897,-0.001,-0.1,0.068,0.01,-0.042
-12981.919113,-0.001,-0.1,0.1,0.01,-0.01
-2460.232075,-0.000916,-0.092,0.026,0.01,-0.076
-5179.67473,-0.001,-0.1,0.06,0.01,-0.05
-9077.676625,-0.001,-0.1,0.028,0.01,-0.082
-6395.301811,-0.001,-0.1,0.1,0.01,-0.01
-2619.332484,-0.000967,-0.097,0.046,0.01,-0.06
-11001.832675,-0.001,-0.1,0.1,0.01,-0.01
-16254.460914,-0.001,-0.1,0.034,0.01,-0.076
-9837.171895,-0.001,-0.1,0.076,0.01,-0.034
-11830.746485,-0.001,-0.1,0.1,0.01,-0.01
-12356.188884,-0.001,-0.1,0.014,0.01,-0.096
-7123.533247,-0.001,-0.1,0.1,0.01,-0.01
-13814.378667,-0.001,-0.1,0.076,0.01,-0.034
-6474.744282,-0.001,-0.1,0.035,0.01,-0.075
-5620.34951,-0.001,-0.1,0.053,0.01,-0.057
-6564.787298,-0.001,-0.1,0.068,0.01,-0.042
-8832.543235,-0.001,-0.1,0.1,0.01,-0.01
-3478.343982,-0.001,-0.1,0.051,0.01,-0.059
-3854.994595,-0.001,-0.1,0.013,0.01,-0.097
-3872.633131,-0.001,-0.1,0.044,0.01,-0.066
-3342.663796,-0.001,-0.1,0.03,0.01,-0.08
-4673.831688,-0.001,-0.1,0.028,0.01,-0.082
-3734.070303,-0.001,-0.1,0.052,0.01,-0.058
-14128.933046,-0.001,-0.1,0.1,0.01,-0.01
-5073.854228,-0.001,-0.1,0.086,0.01,-0.024
-12077.321472,-0.001,-0.1,0.084,0.01,-0.026
-8597.305049,-0.001,-0.1,0.1,0.01,-0.01
7792.324423,0.001,0.1,0.1,0.01,0.19
-11878.942243,-0.001,-0.1,0.098,0.01,-0.012
-6672.43838,-0.001,-0.1,0.1,0.01,-0.01
-10265.349696,-0.001,-0.1,0.065,0.01,-0.045
-3390.184379,-0.001,-0.1,0.09,0.01,-0.02
1704.31879,0.000587,0.059,0.023,0.01,0.072
-5991.509491,-0.001,-0.1,0.068,0.01,-0.042
-14336.392973,-0.001,-0.1,0.1,0.01,-0.01
-8578.261387,-0.001,-0.1,0.089,0.01,-0.021
-5944.914903,-0.001,-0.1,0.1,0.01,-0.01
-1528.424964,-0.00052,-0.052,0.018,0.01,-0.044
-9126.99621,-0.001,-0.1,0.1,0.01,-0.01
-18056.805654,-0.001,-0.1,0.1,0.01,-0.01
-19759.09576,-0.001,-0.1,0.076,0.01,-0.034
